product_id,product_name,category,price,stock
1,Proactive responsive approach,Home,1568.08,349
2,Business-focused neutral attitude,Home,1518.08,12
3,Switchable optimizing website,Sports,1093.46,31
4,Optimized holistic product,Clothing,904.74,337
5,Diverse multi-tasking migration,Sports,260.2,337
6,Customizable clear-thinking budgetary management,Sports,813.51,218
7,Advanced systematic migration,Books,653.16,266
8,Balanced asymmetric hierarchy,Sports,1182.52,403
9,Face-to-face encompassing help-desk,Home,321.41,434
10,Synergized discrete projection,Home,840.97,62
11,Streamlined tangible moratorium,Books,469.65,377
12,Ergonomic composite extranet,Electronics,1678.16,422
13,Cross-platform asynchronous product,Home,1674.08,399
14,Profound full-range protocol,Electronics,720.93,188
15,Synergistic disintermediate help-desk,Home,1202.32,450
16,Grass-roots homogeneous task-force,Sports,1099.13,362
17,User-friendly zero-defect flexibility,Books,924.18,367
18,Cross-platform context-sensitive leverage,Electronics,573.96,395
19,Future-proofed attitude-oriented throughput,Sports,525.68,470
20,Synergized even-keeled ability,Electronics,1375.48,263
21,Multi-channeled well-modulated orchestration,Electronics,1966.11,110
22,Persistent dynamic portal,Home,446.54,31
23,Monitored fresh-thinking process improvement,Clothing,1660.54,339
24,Up-sized eco-centric task-force,Clothing,1350.3,210
25,Team-oriented 4thgeneration neural-net,Sports,1531.11,346
26,Operative responsive data-warehouse,Sports,1636.26,422
27,Object-based needs-based matrix,Sports,72.28,45
28,Multi-channeled exuding installation,Clothing,1857.2,340
29,Cross-group tangible Graphical User Interface,Clothing,1989.32,90
30,Customer-focused bottom-line intranet,Clothing,1124.6,186
31,Profound transitional groupware,Clothing,690.91,390
32,Innovative eco-centric matrix,Electronics,1270.34,393
33,Face-to-face multi-tasking application,Home,549.81,386
34,Compatible high-level challenge,Electronics,1972.01,495
35,Function-based fault-tolerant algorithm,Books,611.54,354
36,Ameliorated stable moratorium,Clothing,901.38,215
37,Switchable systematic encryption,Home,1466.78,66
38,Organic neutral forecast,Clothing,1330.6,367
39,Ameliorated tertiary neural-net,Home,1844.53,188
40,Future-proofed full-range circuit,Books,922.62,237
41,Centralized systemic policy,Electronics,1209.63,156
42,User-friendly dynamic projection,Electronics,1789.93,289
43,Total methodical migration,Clothing,1932.58,410
44,Multi-channeled multimedia migration,Home,1640.3,189
45,Stand-alone tertiary matrices,Clothing,737.39,351
46,Business-focused bifurcated solution,Clothing,11.38,434
47,Proactive full-range instruction set,Electronics,291.02,98
48,Assimilated local firmware,Sports,1436.48,1
49,Automated impactful firmware,Electronics,983.21,43
50,User-centric client-server migration,Home,959.61,483
51,Robust even-keeled project,Sports,1742.28,381
52,Innovative dedicated encoding,Home,1119.47,364
53,Digitized static circuit,Sports,1409.28,167
54,Re-engineered stable architecture,Clothing,402.7,71
55,Optional transitional paradigm,Electronics,1189.97,12
56,Future-proofed zero-defect adapter,Books,1763.22,193
57,Extended client-server secured line,Books,1241.69,131
58,Exclusive dynamic software,Books,1609.24,222
59,Virtual web-enabled implementation,Electronics,1214.25,290
60,Synergized upward-trending secured line,Home,1876.8,252
61,Seamless client-server initiative,Home,1470.96,125
62,Managed didactic functionalities,Books,1916.21,479
63,Business-focused bottom-line methodology,Electronics,1647.66,111
64,Seamless 24hour artificial intelligence,Electronics,858.69,339
65,Universal homogeneous throughput,Electronics,1715.95,93
66,Robust clear-thinking collaboration,Home,466.35,497
67,Multi-channeled client-driven hub,Books,1516.99,185
68,Extended zero administration matrix,Clothing,457.01,220
69,Down-sized leadingedge throughput,Sports,1733.82,234
70,Networked didactic info-mediaries,Sports,1673.05,167
71,Open-source maximized intranet,Home,1547.32,426
72,Pre-emptive even-keeled info-mediaries,Electronics,335.58,275
73,User-friendly mobile Graphical User Interface,Clothing,856.75,184
74,Automated didactic strategy,Electronics,197.72,8
75,Digitized background access,Home,1239.9,54
76,Synchronized grid-enabled matrix,Books,368.91,384
77,Adaptive actuating initiative,Books,1438.1,278
78,Self-enabling stable Graphic Interface,Books,22.1,127
79,Multi-lateral empowering ability,Clothing,316.1,148
80,Customizable static data-warehouse,Books,1305.42,146
81,Progressive multi-state alliance,Books,1361.4,364
82,Sharable client-server strategy,Home,1714.57,75
83,Intuitive uniform structure,Clothing,884.86,456
84,Ameliorated system-worthy standardization,Books,1850.72,400
85,Future-proofed clear-thinking approach,Clothing,995.72,168
86,Configurable well-modulated model,Home,1421.25,179
87,Robust encompassing functionalities,Electronics,600.96,48
88,Public-key system-worthy flexibility,Clothing,360.98,340
89,Customizable 5thgeneration concept,Books,1378.63,319
90,Stand-alone leadingedge ability,Home,140.22,267
91,Synchronized transitional ability,Home,1742.43,427
92,Sharable bandwidth-monitored frame,Home,343.54,445
93,Organized multi-state forecast,Clothing,1026.6,53
94,Universal impactful flexibility,Sports,1915.98,488
95,Organized disintermediate analyzer,Clothing,1715.94,472
96,Persevering bi-directional flexibility,Sports,292.7,137
97,Grass-roots static utilization,Home,1785.95,299
98,Public-key needs-based throughput,Books,1627.75,222
99,Multi-layered methodical instruction set,Clothing,824.6,354
100,Robust user-facing Internet solution,Home,134.04,147
101,Seamless tangible moratorium,Electronics,1920.7,343
102,Function-based demand-driven knowledge user,Books,439.03,459
103,User-friendly secondary info-mediaries,Clothing,1791.26,328
104,Upgradable needs-based task-force,Home,238.97,459
